total_points,avg_dev,std_dev,label,band_1_points,band_2_points,band_3_points,band_4_points,band_5_points,band_6_points,band_7_points,band_8_points,band_9_points,band_10_points,dev_1,dev_2,dev_3,dev_4,dev_5,dev_6,dev_7,dev_8,dev_9,dev_10,dev_11,dev_12,dev_13,dev_14,dev_15,dev_16,dev_17,dev_18,dev_19,dev_20
23,73.5636,84.6146,1,1,1,2,3,3,0,3,3,3,4,220.992,35.1246,136.989,32.0887,253.74,0.778269,16.6866,37.7509,0.711385,14.7355,22.4796,0.575144,9.29256,8.59429,165.922,145.558,139.884,1.32721,9.96899,11.1058
21,2.04736e+07,2.28723e+07,0,1,1,1,2,2,1,3,3,3,4,184763,6.21929e+07,1.87711e+06,6.29824e+07,3.66565e+07,3.23019e+06,423285,1.04737e+07,2.45502e+07,6.26966e+07,4.52342e+07,3.55818e+07,228736,2.01143e+06,3.01103e+06,191760,1.85819e+06,2.08931e+06,3.74685e+07,1.65292e+07
13,42.874,37.3265,1,1,1,0,1,0,2,2,0,3,3,22.8759,34.1568,106.705,68.5448,23.0874,124.145,37.2845,2.93946,0.950002,10.5163,35.3264,47.956,0,0,0,0,0,0,0,0
12,1.06539e+07,9.07887e+06,0,1,0,1,0,1,0,2,0,3,4,2.87904e+07,999960,9.06042e+06,2.77163e+07,6.03498e+06,6.93595e+06,1.23402e+06,5.64072e+06,1.45019e+07,1.08234e+07,5.45472e+06,0,0,0,0,0,0,0,0,0
86,85.4835,74.5428,1,4,6,6,3,10,10,5,14,14,14,7.28187,141.796,33.7883,9.87137,38.5591,168.781,129.973,34.7904,108.482,90.5621,31.2496,59.4875,74.0804,27.3886,195.444,199.249,179.43,140.641,115.962,170.341
84,3.04099e+07,2.75802e+07,0,4,6,3,8,10,5,12,7,14,15,2.18045e+06,2.68424e+07,3.08071e+06,2.28249e+06,229575,2.92387e+07,2.83386e+07,254119,7.31999e+07,6.84816e+07,7.02163e+07,2.35329e+07,1.75834e+07,5.21935e+07,6.59426e+07,8.27305e+07,7.14167e+07,6.77798e+06,5.84982e+06,7.17316e+07
24,83.7314,60.4044,1,1,2,2,2,0,2,3,4,4,4,63.7168,50.3797,88.1624,114.279,112.11,135.168,6.40671,17.0802,6.36569,78.0885,1.57739,3.53861,28.7105,99.3762,172.869,220.203,158.113,159.396,11.8561,103.228
24,2.80649e+07,2.3306e+07,0,1,2,2,2,0,2,3,4,4,4,1.60733e+07,1.11003e+07,2.1117e+07,6.67523e+07,5.88017e+07,6.44437e+07,5.73488e+06,1.72855e+07,4.24797e+06,7.62288e+07,6.14611e+07,5.79666e+07,971061,3.87056e+07,3.15521e+06,2.23867e+07,2.185e+07,2.8732e+07,2.6141e+06,1.6298e+07
12,42.1011,30.4623,1,1,1,0,1,0,1,2,0,3,3,16.4609,49.4777,63.7309,109.339,77.454,24.6934,39.8048,0.717763,14.2433,21.0373,46.1529,0,0,0,0,0,0,0,0,0
14,9.81966e+06,9.7619e+06,0,1,1,0,1,0,1,2,0,3,5,214659,2.90851e+07,173171,1.47677e+07,2.90344e+07,8.51054e+06,2.40021e+06,75978.7,1.55276e+07,1.14084e+07,8.67223e+06,732.625,7.78493e+06,0,0,0,0,0,0,0
98,2.93904e+07,2.65828e+07,0,4,5,6,8,5,10,12,14,14,20,2.27235e+07,3.85183e+07,7.83711e+06,1.62945e+07,1.22116e+07,7.92405e+06,2.77231e+07,1.68955e+07,9.84057e+06,598272,2.9664e+07,5.3223e+07,6.18935e+07,9.54751e+07,2.11797e+07,4.88018e+07,8.08844e+07,7.92433e+07,7.42759e+07,7.82577e+07
89,85.4442,72.5826,1,4,6,7,4,9,10,6,13,14,16,56.9961,104.567,64.423,47.82,147.395,58.9391,66.398,39.7236,24.0901,7.59565,1.64581,160.492,109.95,36.3908,105.239,54.1393,232.758,30.9347,98.3935,147.243
23,87.7981,73.1998,1,1,1,2,2,1,2,3,3,4,4,106.424,40.1977,140.669,63.4065,156.356,26.7785,49.6125,1.07947,9.24241,36.1801,0.974284,4.07107,14.4577,174.947,160.759,139.207,252.119,32.4602,55.1844,189.245
23,2.8295e+07,2.27847e+07,0,1,1,2,2,0,3,3,3,4,4,3.02346e+07,2.53366e+06,6.71986e+07,5.92385e+07,6.68194e+07,2.48015e+07,4.24395e+07,1.0016e+06,7.78801e+06,3.16874e+07,6.57965e+07,5.43473e+07,3.10817e+07,302939,1.63578e+06,4.55282e+06,4.17863e+07,6.6085e+06,8.03497e+06,3.14742e+07
13,54.1964,31.0663,1,1,1,0,2,2,0,2,0,2,3,63.425,16.9422,41.7179,83.8437,24.519,10.8907,99.1299,59.4642,92.3019,12.1222,86.0644,59.9354,0,0,0,0,0,0,0,0
12,1.40556e+07,1.0451e+07,0,1,1,0,2,0,2,0,2,0,4,3.09813e+07,1.69413e+07,2.34138e+06,3.06938e+07,8.62663e+06,2.6396e+06,5.68331e+06,1.99631e+06,1.27726e+07,2.41368e+07,1.77988e+07,0,0,0,0,0,0,0,0,0
101,83.7419,65.0879,1,3,6,6,8,10,10,13,14,14,17,3.43443,68.1584,117.457,23.2059,55.2747,178.026,85.3868,10.2223,209.208,93.8007,17.1143,102.988,79.0064,121.238,51.4998,36.2276,23.1205,171.227,174.901,165.241
105,2.82585e+07,2.26328e+07,0,4,6,6,9,5,10,13,14,15,23,2.79344e+07,9.40434e+06,7.19255e+06,1.71423e+07,946354,2.47981e+07,184879,1.1232e+07,6.31407e+06,3.68495e+07,3.20452e+06,4.21329e+07,7.37446e+07,7.3313e+07,2.56549e+07,2.28013e+07,5.43479e+07,5.32438e+07,7.59399e+07,7.08381e+07
24,69.5322,80.7606,1,1,1,1,2,3,3,3,3,3,4,119.227,42.0307,36.6392,149.118,25.6704,272.99,0.434367,17.5682,39.5281,0.821289,9.19806,16.4015,0.999766,5.88406,15.2055,181.621,163.495,155.18,1.09965,7.93412
